"userid","Altersgruppe","condition","TLX_mental","TLX_physical","TLX_temporal","TLX_perf_raw","TLX_effort","TLX_frustration","TLX_total","PANAS_PA","PANAS_NA","UES_FA","UES_PU","UES_AE","UES_RW","UES_total","MFI_GF","Stress","avg_watchtime_KI","avg_watchtime_nichtKI","Alter"
"teilnehmer39","elderly","random",15,15,15,75,15,50,22.5,28,10,4,4,2.66666666666667,2.66666666666667,3.33333333333333,15,0,5.12380769230769,5.9795,64
"teilnehmer39","elderly","none",15,15,15,50,20,15,21.6666666666667,28,10,4,3.66666666666667,3.33333333333333,3.33333333333333,3.58333333333333,16,0,6.60444444444444,8.43442105263158,64
"teilnehmer39","elderly","accurate",15,30,20,55,20,20,25,27,10,4,4,3.33333333333333,3.66666666666667,3.75,16,0,9.8822,6.59016393442623,64
"teilnehmer40","elderly","random",10,10,5,100,5,30,10,20,13,2.66666666666667,4,2.66666666666667,2,2.83333333333333,4,6,28.4168571428571,18.2185909090909,65
"teilnehmer40","elderly","accurate",5,5,5,95,5,60,14.1666666666667,17,11,3,4.33333333333333,2.66666666666667,2,3,5,7,18.2935714285714,22.4603333333333,65
"teilnehmer40","elderly","none",5,5,5,95,5,10,5.83333333333333,17,10,2.66666666666667,4,2.33333333333333,1.66666666666667,2.66666666666667,5,7,26.21575,16.8971739130435,65
"teilnehmer41","elderly","accurate",5,5,60,20,5,85,40,11,23,1,1.33333333333333,1,1,1.08333333333333,4,76,5.15666666666667,4.84614285714286,53
"teilnehmer41","elderly","random",5,5,5,5,5,70,30.8333333333333,10,22,1,3,1,1,1.5,4,86,3.30862222222222,3.05085925925926,53
"teilnehmer41","elderly","none",5,5,5,5,5,95,35,10,21,1,2.66666666666667,1,1,1.41666666666667,4,92,2.4862,2.66296296296296,53
"teilnehmer42","elderly","accurate",15,15,15,15,15,40,30.8333333333333,18,22,1.66666666666667,3.66666666666667,2,1.33333333333333,2.16666666666667,10,55,7.1514,7.97940350877193,61
"teilnehmer42","elderly","none",15,10,55,25,50,70,45.8333333333333,20,28,1.33333333333333,3,1.66666666666667,1,1.75,8,59,5.74104,5.94607894736842,61
"teilnehmer42","elderly","random",15,10,40,25,15,40,32.5,18,22,2,3,2.33333333333333,1,2.08333333333333,7,59,3.91780952380952,3.44242857142857,61
"teilnehmer43","elderly","none",5,5,5,10,5,5,19.1666666666667,16,12,1.66666666666667,4.33333333333333,2,1,2.25,16,30,10.0228461538462,12.3087894736842,61
"teilnehmer43","elderly","accurate",10,5,5,10,5,5,20,13,12,1.33333333333333,4.33333333333333,2,1,2.16666666666667,16,7,18.9343846153846,9.82102777777778,61
"teilnehmer43","elderly","random",5,5,5,45,5,5,13.3333333333333,17,11,1.66666666666667,4.33333333333333,2.33333333333333,1,2.33333333333333,19,41,10.6506,6.23654838709677,61
"teilnehmer44","elderly","none",25,5,30,25,30,10,29.1666666666667,31,17,4,4.33333333333333,4.33333333333333,2.66666666666667,3.83333333333333,16,20,16.4866666666667,27.6316666666667,72
"teilnehmer44","elderly","random",15,15,20,35,25,15,25.8333333333333,34,15,3.33333333333333,4,3.66666666666667,2.66666666666667,3.41666666666667,12,24,26.047,19.7342380952381,72
"teilnehmer44","elderly","accurate",25,15,25,30,35,15,30.8333333333333,34,12,2.66666666666667,4,3.66666666666667,2.33333333333333,3.16666666666667,13,28,31.1713333333333,22.9258888888889,72
"teilnehmer45","elderly","random",20,20,50,55,25,35,32.5,24,13,3.33333333333333,5,4,4,4.08333333333333,9,36,9.54558823529412,8.57429411764706,63
"teilnehmer45","elderly","none",30,30,35,65,35,30,32.5,29,11,3.66666666666667,4.33333333333333,4.33333333333333,4,4.08333333333333,8,43,5.96980769230769,5.5345875,63
"teilnehmer45","elderly","accurate",25,40,35,60,45,20,34.1666666666667,26,11,3.33333333333333,3.66666666666667,4,3.66666666666667,3.66666666666667,8,42,4.43842857142857,4.129,63
"teilnehmer47","elderly","accurate",50,15,35,75,55,80,43.3333333333333,36,10,3,4.66666666666667,4,3,3.66666666666667,4,10,21.1252857142857,22.29975,65
"teilnehmer46","elderly","random",10,10,10,10,10,10,23.3333333333333,27,10,2,3,2,2,2.25,7,30,40.665,22.9052941176471,68
"teilnehmer47","elderly","random",40,25,40,65,40,30,35,33,11,2.66666666666667,5,4,2.66666666666667,3.58333333333333,4,3,18.388125,20.4287727272727,65
"teilnehmer46","elderly","accurate",10,10,10,10,10,10,23.3333333333333,28,11,2,3.33333333333333,2,2,2.33333333333333,9,30,7.36280952380952,7.04504838709677,68
"teilnehmer47","elderly","none",15,25,25,70,20,75,31.6666666666667,36,10,2.66666666666667,5,3.66666666666667,2.33333333333333,3.41666666666667,4,10,16.4798571428571,20.8178260869565,65
"teilnehmer46","elderly","none",10,10,10,10,10,10,23.3333333333333,28,10,2,3.33333333333333,2,2,2.33333333333333,11,30,5.40961764705882,4.05458823529412,68
"teilnehmer48","elderly","accurate",25,25,40,95,55,30,30,28,14,3.33333333333333,4,4.33333333333333,3.66666666666667,3.83333333333333,11,24,5.17208695652174,6.73835294117647,64
"teilnehmer48","elderly","none",40,40,25,90,55,20,31.6666666666667,31,15,4,3.33333333333333,4,3.33333333333333,3.66666666666667,13,50,5.62113793103448,4.55193333333333,64
"teilnehmer48","elderly","random",50,65,25,85,70,65,48.3333333333333,24,19,3,2.66666666666667,3.33333333333333,3,3,13,78,4.07163888888889,3.66959047619048,64
"teilnehmer49","elderly","none",15,10,50,50,15,20,26.6666666666667,22,15,1.66666666666667,3.66666666666667,1.66666666666667,1,2,14,0,15.5065,19.02344,69
"teilnehmer49","elderly","accurate",10,15,10,50,10,15,18.3333333333333,16,13,1.66666666666667,4,1.33333333333333,1.33333333333333,2.08333333333333,15,0,15.5535384615385,10.1925897435897,69
"teilnehmer49","elderly","random",5,10,5,10,5,10,20.8333333333333,16,11,1.66666666666667,4.33333333333333,2,1.33333333333333,2.33333333333333,14,0,4.56222857142857,4.19033333333333,69
"teilnehmer50","elderly","none",20,15,15,10,15,75,38.3333333333333,15,33,1.66666666666667,3,2,1,1.91666666666667,14,48,26.334,29.4452666666667,64
"teilnehmer50","elderly","random",10,10,30,20,10,90,38.3333333333333,17,29,2,3.66666666666667,2.66666666666667,1.33333333333333,2.41666666666667,12,46,10.9965833333333,13.3262571428571,64
"teilnehmer50","elderly","accurate",15,15,15,5,15,85,40,17,26,2.66666666666667,4.33333333333333,2.66666666666667,1,2.66666666666667,13,39,11.9676,16.0008333333333,64
"teilnehmer51","elderly","random",20,5,5,5,5,5,22.5,29,10,1.66666666666667,4.66666666666667,2.33333333333333,1.33333333333333,2.5,5,0,6.49331578947368,8.05896551724138,74
"teilnehmer51","elderly","none",10,5,5,20,5,5,18.3333333333333,29,10,2,5,2.33333333333333,1.66666666666667,2.75,6,0,6.77531034482759,4.65202325581395,74
"teilnehmer51","elderly","accurate",10,5,10,10,5,5,20.8333333333333,27,10,2,4.66666666666667,2.66666666666667,1.33333333333333,2.66666666666667,6,0,4.53347222222222,3.91489908256881,74
"teilnehmer52","elderly","random",5,5,5,100,5,5,4.16666666666667,15,10,3,4.33333333333333,1,1,2.33333333333333,8,10,6.57126923076923,5.28058024691358,50
"teilnehmer52","elderly","accurate",5,5,5,100,5,5,4.16666666666667,14,10,3,5,1,3,3,8,10,5.18554761904762,2.9813937007874,50
"teilnehmer52","elderly","none",5,5,5,100,5,5,4.16666666666667,18,10,3.33333333333333,5,1,2.33333333333333,2.91666666666667,8,10,4.05295555555556,2.38940740740741,50
"teilnehmer53","elderly","accurate",5,5,10,5,5,30,25,13,12,2.66666666666667,3.66666666666667,3,2.66666666666667,3,8,6,7.39273684210526,8.18151785714286,53
"teilnehmer53","elderly","random",5,5,5,5,5,5,20,13,14,2.33333333333333,3.66666666666667,2.33333333333333,2.33333333333333,2.66666666666667,10,10,9.34423529411765,8.0862962962963,53
"teilnehmer53","elderly","none",5,5,10,5,5,10,21.6666666666667,13,14,2,3.66666666666667,2.66666666666667,2.66666666666667,2.75,11,8,8.60354166666667,5.471,53
"teilnehmer54","elderly","accurate",30,5,85,70,20,10,30,13,14,1.33333333333333,3.33333333333333,3.33333333333333,2.33333333333333,2.58333333333333,8,0,15.32,14.8731333333333,66
"teilnehmer54","elderly","none",15,5,10,65,5,10,13.3333333333333,25,12,2,3,2.66666666666667,2,2.41666666666667,8,0,9.71466666666667,10.31925,66
"teilnehmer54","elderly","random",10,10,10,50,10,10,16.6666666666667,32,14,2,3.33333333333333,3.33333333333333,2,2.66666666666667,9,0,10.9445555555556,7.48162264150943,66
